Log Date 27.2.25 : 12:53
Active SetInfos :
Var : $MSG_T.VALID -V* Job 32783
Var : $MSG_T.RELEASE -V* Job 32784
Var : $PRO_NAME1[] -V* Job 32785
Var : $PRO_STATE0* Job 33257
Var : $PRO_STATE1* Job 33258
Var : $MOT_STOP* Job 33259
Var : $PERI_RDY -V* Job 33260
Var : $WAIT_FOR[] -V* Job 33261
Var : $LOOP_MSG[] -V* Job 33262
Var : $MODE_OP* Job 33263
Var : $MOUSE_ACT* Job 33265
Var : $PRO_IP* Job 32870
Var : $PRO_MODE* Job 33270
Var : $LINE_SELECT* Job 33271
Var : $COSYS* Job 33272
Var : $TRANSSYS* Job 33273
Var : $MOUSE_DOM* Job 33274
Var : $ACTIVE_AXIS* Job 32778
Var : $ACTIVE_KAR* Job 32779
Var : $PRO_STATE* Job 32781
Var : $OV_JOG* Job 32787
Var : $OV_PRO* Job 32788
Var : $PHGBRIGHT* Job 32789
Var : $PHGCONT* Job 32790
Var : $PAL_MODE* Job 32791
--------
25 active SetInfos

SetInfo Events :
n:new
c:change
d:delete
e:end
Flag Time      Variable             Job
c    159817804             $PRO_IP*  33269
c    159818596      $WAIT_FOR[] -V*  33261
c    159818604             $PRO_IP*  33269
c    159818796      $WAIT_FOR[] -V*  33261
c    159819004             $PRO_IP*  33269
c    159820396      $WAIT_FOR[] -V*  33261
c    159820404             $PRO_IP*  33269
c    159820804             $PRO_IP*  33269
c    159821804             $PRO_IP*  33269
c    159824204             $PRO_IP*  33269
c    159826404             $PRO_IP*  33269
c    159827804             $PRO_IP*  33269
c    159828796      $WAIT_FOR[] -V*  33261
c    159828804             $PRO_IP*  33269
c    159830596      $WAIT_FOR[] -V*  33261
c    159830604             $PRO_IP*  33269
c    159830796      $WAIT_FOR[] -V*  33261
c    159831004             $PRO_IP*  33269
c    159831404             $PRO_IP*  33269
c    159832796      $WAIT_FOR[] -V*  33261
c    159832804             $PRO_IP*  33269
c    159833796      $WAIT_FOR[] -V*  33261
c    159833804             $PRO_IP*  33269
c    159834604             $PRO_IP*  33269
c    159837004             $PRO_IP*  33269
c    159837032  $PRO_IP.NAME_C[] -V  33013
c    159838604             $PRO_IP*  33269
c    159841004             $PRO_IP*  33269
c    159841404             $PRO_IP*  33269
c    159842796      $WAIT_FOR[] -V*  33261
c    159842804             $PRO_IP*  33269
c    159842996      $WAIT_FOR[] -V*  33261
c    159843204             $PRO_IP*  33269
c    159844204             $PRO_IP*  33269
c    159847404             $PRO_IP*  33269
c    159847432  $PRO_IP.NAME_C[] -V  33013
c    159847804             $PRO_IP*  33269
c    159850604             $PRO_IP*  33269
c    159851604             $PRO_IP*  33269
c    159852004             $PRO_IP*  33269
c    159852604             $PRO_IP*  33269
c    159853596      $WAIT_FOR[] -V*  33261
c    159853604             $PRO_IP*  33269
c    159853796      $WAIT_FOR[] -V*  33261
c    159854004             $PRO_IP*  33269
c    159855204             $PRO_IP*  33269
c    159856204             $PRO_IP*  33269
c    159856804             $PRO_IP*  33269
c    159857804             $PRO_IP*  33269
c    159859796      $WAIT_FOR[] -V*  33261
c    159859804             $PRO_IP*  33269
c    159916596      $WAIT_FOR[] -V*  33261
c    159916604             $PRO_IP*  33269
c    159919004             $PRO_IP*  33269
c    159919404             $PRO_IP*  33269
c    159920204             $PRO_IP*  33269
c    159920996      $WAIT_FOR[] -V*  33261
c    159921004             $PRO_IP*  33269
c    159921196      $WAIT_FOR[] -V*  33261
c    159921404             $PRO_IP*  33269
c    159922796      $WAIT_FOR[] -V*  33261
c    159922804             $PRO_IP*  33269
c    159923204             $PRO_IP*  33269
c    159924204             $PRO_IP*  33269
c    159926804             $PRO_IP*  33269
c    159928804             $PRO_IP*  33269
c    159930204             $PRO_IP*  33269
c    159931196      $WAIT_FOR[] -V*  33261
c    159931204             $PRO_IP*  33269
c    159932996      $WAIT_FOR[] -V*  33261
c    159933004             $PRO_IP*  33269
c    159933196      $WAIT_FOR[] -V*  33261
c    159933404             $PRO_IP*  33269
c    159933804             $PRO_IP*  33269
c    159935396      $WAIT_FOR[] -V*  33261
c    159935404             $PRO_IP*  33269
c    159936196      $WAIT_FOR[] -V*  33261
c    159936204             $PRO_IP*  33269
c    159937004             $PRO_IP*  33269
c    159939404             $PRO_IP*  33269
c    159939432  $PRO_IP.NAME_C[] -V  33013
c    159939804             $PRO_IP*  33269
c    159941204             $PRO_IP*  33269
c    159943404             $PRO_IP*  33269
c    159943804             $PRO_IP*  33269
c    159945004             $PRO_IP*  33269
c    159945394        $PERI_RDY -V*  33260
c    159945422          $PRO_STATE*  32781
c    159945592         $PRO_STATE1*  33258
c    160703602            $MODE_OP*  33263
c    160710192         $PRO_STATE1*  33258
c    160710206             $PRO_IP*  33269
c    160710222          $PRO_STATE*  32781
c    160710234  $PRO_IP.NAME_C[] -V  33013
c    160713196        $PERI_RDY -V*  33260
c    160715596        $PERI_RDY -V*  33260
c    160716604          $MOUSE_ACT*  33265
c    160717004          $MOUSE_ACT*  33265
c    160719596        $PERI_RDY -V*  33260
c    160724392         $PRO_STATE1*  33258
c    160724406             $PRO_IP*  33269
c    160724422          $PRO_STATE*  32781
c    160726226             $OV_PRO*  32788
c    160726426             $OV_PRO*  32788
c    160729592         $PRO_STATE1*  33258
c    160729606             $PRO_IP*  33269
c    160729622          $PRO_STATE*  32781
c    160730796        $PERI_RDY -V*  33260
c    160731826             $OV_PRO*  32788
c    160732026             $OV_PRO*  32788
c    160732802            $MODE_OP*  33263
c    160733002            $MODE_OP*  33263
c    161012602            $MODE_OP*  33263
c    161012802            $MODE_OP*  33263
c    161015992         $PRO_STATE1*  33258
c    161016006             $PRO_IP*  33269
c    161016022          $PRO_STATE*  32781
c    161017402            $MODE_OP*  33263
c    161020202            $MODE_OP*  33263
c    161021202            $MODE_OP*  33263
c    161031996        $PERI_RDY -V*  33260
c    161035392         $PRO_STATE1*  33258
c    161035406             $PRO_IP*  33269
c    161035422          $PRO_STATE*  32781
c    161035606             $PRO_IP*  33269
c    161035622          $PRO_STATE*  32781
c    161035792         $PRO_STATE1*  33258
c    161035806             $PRO_IP*  33269
c    161041996        $PERI_RDY -V*  33260
c    161042002            $MODE_OP*  33263
c    161044012         $PRO_STATE1*  33258
c    161044026             $PRO_IP*  33269
c    161044042          $PRO_STATE*  32781
c    161047816        $PERI_RDY -V*  33260
c    161048412         $PRO_STATE1*  33258
c    161048426             $PRO_IP*  33269
c    161048442          $PRO_STATE*  32781
c    161048812         $PRO_STATE1*  33258
c    161048826             $PRO_IP*  33269
c    161048842          $PRO_STATE*  32781
c    161050216        $PERI_RDY -V*  33260
c    161050622            $MODE_OP*  33263
c    161054416        $PERI_RDY -V*  33260
c    161055842          $PRO_STATE*  32781
c    161056026             $PRO_IP*  33269
c    161056042          $PRO_STATE*  32781
c    161070416        $PERI_RDY -V*  33260
c    161070422            $MODE_OP*  33263
c    161087626             $PRO_IP*  33269
c    161088646             $OV_PRO*  32788
c    161089046             $OV_PRO*  32788
c    161089646             $OV_PRO*  32788
c    161152426             $PRO_IP*  33269
c    161158214         $PRO_STATE1*  33258
c    161158228             $PRO_IP*  33269
c    161158244          $PRO_STATE*  32781
c    161162618        $PERI_RDY -V*  33260
c    161163214         $PRO_STATE1*  33258
c    161163228             $PRO_IP*  33269
c    161163244          $PRO_STATE*  32781
c    161163428             $PRO_IP*  33269
c    161163444          $PRO_STATE*  32781
c    161163614         $PRO_STATE1*  33258
c    161165818        $PERI_RDY -V*  33260
c    161168024            $MODE_OP*  33263
c    161168224            $MODE_OP*  33263
c    161173018        $PERI_RDY -V*  33260
c    161174614         $PRO_STATE1*  33258
c    161174628             $PRO_IP*  33269
c    161174644          $PRO_STATE*  32781
c    161180248             $OV_PRO*  32788
c    161190228             $PRO_IP*  33269
c    161191428             $PRO_IP*  33269
c    161203448             $OV_PRO*  32788
c    161205030             $PRO_IP*  33269
c    161205250             $OV_PRO*  32788
c    161206050             $OV_PRO*  32788
c    161208450             $OV_PRO*  32788
c    161209430             $PRO_IP*  33269
c    161210850             $OV_PRO*  32788
c    161213430             $PRO_IP*  33269
c    161213458  $PRO_IP.NAME_C[] -V  33013
c    161217450             $OV_PRO*  32788
c    161220450             $OV_PRO*  32788
c    161220850             $OV_PRO*  32788
c    161221450             $OV_PRO*  32788
c    161249250             $OV_PRO*  32788
c    161249650             $OV_PRO*  32788
c    161250050             $OV_PRO*  32788
c    161250230             $PRO_IP*  33269
c    161251250             $OV_PRO*  32788
c    161253450             $OV_PRO*  32788
c    161254050             $OV_PRO*  32788
c    161335854          $PRO_STATE*  32781
c    161336024         $PRO_STATE1*  33258
c    161336028        $PERI_RDY -V*  33260
c    161336034            $MODE_OP*  33263
c    161336038             $PRO_IP*  33269
c    161348022     $PRO_NAME1[] -V*  32785
c    161348026         $PRO_STATE1*  33258
c    161348040             $PRO_IP*  33269
c    161348056          $PRO_STATE*  32781
c    161348068  $PRO_IP.NAME_C[] -V  33013
d    161423158  $PRO_IP.NAME_C[] -V  33013
c    162101436     $PRO_NAME1[] -V*  32785
c    162101440         $PRO_STATE1*  33258
c    162101454             $PRO_IP*  33269
c    162101470          $PRO_STATE*  32781
c    162108438     $PRO_NAME1[] -V*  32785
c    162108442         $PRO_STATE1*  33258
c    162108456             $PRO_IP*  33269
c    162108472          $PRO_STATE*  32781
c    163166826     $PRO_NAME1[] -V*  32785
c    163166830         $PRO_STATE1*  33258
c    163166844             $PRO_IP*  33269
c    163166860          $PRO_STATE*  32781
c    163179626     $PRO_NAME1[] -V*  32785
c    163179630         $PRO_STATE1*  33258
c    163179644             $PRO_IP*  33269
c    163179660          $PRO_STATE*  32781
c    163186432     $PRO_NAME1[] -V*  32785
c    163186436         $PRO_STATE1*  33258
c    163186450             $PRO_IP*  33269
c    163186466          $PRO_STATE*  32781
c    163189040     $PRO_NAME1[] -V*  32785
c    163189044         $PRO_STATE1*  33258
c    163189058             $PRO_IP*  33269
c    163189074          $PRO_STATE*  32781
c    163576936     $PRO_NAME1[] -V*  32785
c    163576940         $PRO_STATE1*  33258
c    163576954             $PRO_IP*  33269
c    163576970          $PRO_STATE*  32781
c    163581780             $OV_PRO*  32788
c    163581980             $OV_PRO*  32788
c    163582180             $OV_PRO*  32788
c    163582380             $OV_PRO*  32788
c    163583780             $OV_PRO*  32788
c    163584180             $OV_PRO*  32788
c    163584580             $OV_PRO*  32788
c    163586550        $PERI_RDY -V*  33260
c    163587146         $PRO_STATE1*  33258
c    163587160             $PRO_IP*  33269
c    163587176          $PRO_STATE*  32781
c    163587946         $PRO_STATE1*  33258
c    163587976          $PRO_STATE*  32781
c    163589146         $PRO_STATE1*  33258
c    163589176          $PRO_STATE*  32781
c    163612346         $PRO_STATE1*  33258
c    163612360             $PRO_IP*  33269
c    163612376          $PRO_STATE*  32781
c    163614150        $PERI_RDY -V*  33260
c    163620150        $PERI_RDY -V*  33260
c    163620550        $PERI_RDY -V*  33260
c    163624950        $PERI_RDY -V*  33260
c    163625560             $PRO_IP*  33269
c    163628350        $PERI_RDY -V*  33260
c    163647546         $PRO_STATE1*  33258
c    163647560             $PRO_IP*  33269
c    163647576          $PRO_STATE*  32781
c    163650150        $PERI_RDY -V*  33260
c    163650760             $PRO_IP*  33269
c    163650776          $PRO_STATE*  32781
c    163650946         $PRO_STATE1*  33258
c    163650960             $PRO_IP*  33269
c    163651146         $PRO_STATE1*  33258
c    163651160             $PRO_IP*  33269
c    163651176          $PRO_STATE*  32781
c    163652950        $PERI_RDY -V*  33260
c    163657550        $PERI_RDY -V*  33260
c    163658160             $PRO_IP*  33269
c    163662150        $PERI_RDY -V*  33260
c    163666760             $PRO_IP*  33269
c    163666942     $PRO_NAME1[] -V*  32785
c    163666946         $PRO_STATE1*  33258
c    163666960             $PRO_IP*  33269
c    163666976          $PRO_STATE*  32781
c    163672956     $PRO_NAME1[] -V*  32785
c    163672960         $PRO_STATE1*  33258
c    163672974             $PRO_IP*  33269
c    163672990          $PRO_STATE*  32781
c    163675968        $PERI_RDY -V*  33260
c    163676564         $PRO_STATE1*  33258
c    163676578             $PRO_IP*  33269
c    163676594          $PRO_STATE*  32781
c    163678564         $PRO_STATE1*  33258
c    163678594          $PRO_STATE*  32781
c    163683978             $PRO_IP*  33269
c    163684564         $PRO_STATE1*  33258
c    163684578             $PRO_IP*  33269
c    163684594          $PRO_STATE*  32781
c    163685364         $PRO_STATE1*  33258
c    163685394          $PRO_STATE*  32781
c    163686364         $PRO_STATE1*  33258
c    163686394          $PRO_STATE*  32781
c    163696564         $PRO_STATE1*  33258
c    163696578             $PRO_IP*  33269
c    163696594          $PRO_STATE*  32781
c    163697764         $PRO_STATE1*  33258
c    163697778             $PRO_IP*  33269
c    163697794          $PRO_STATE*  32781
c    163699964         $PRO_STATE1*  33258
c    163699994          $PRO_STATE*  32781
c    163704580             $PRO_IP*  33269
c    163705366         $PRO_STATE1*  33258
c    163705380             $PRO_IP*  33269
c    163705396          $PRO_STATE*  32781
c    163706566         $PRO_STATE1*  33258
c    163706580             $PRO_IP*  33269
c    163706596          $PRO_STATE*  32781
c    163707566         $PRO_STATE1*  33258
c    163707580             $PRO_IP*  33269
c    163707596          $PRO_STATE*  32781
c    163708966         $PRO_STATE1*  33258
c    163708996          $PRO_STATE*  32781
c    163712770        $PERI_RDY -V*  33260
c    163729980             $PRO_IP*  33269
c    163732370        $PERI_RDY -V*  33260
c    163732966         $PRO_STATE1*  33258
c    163732980             $PRO_IP*  33269
c    163732996          $PRO_STATE*  32781
c    163744566         $PRO_STATE1*  33258
c    163744580             $PRO_IP*  33269
c    163744596          $PRO_STATE*  32781
c    163745970        $PERI_RDY -V*  33260
c    163748180             $PRO_IP*  33269
c    163748182           $PRO_MODE*  33270
c    163748380             $PRO_IP*  33269
c    163749382           $PRO_MODE*  33270
c    163750582           $PRO_MODE*  33270
c    163751582           $PRO_MODE*  33270
